UWI,Nombre del Pozo,"Profundidad Total 
(ft)",Departamento,Cuenca,Lat,Lon,"Coordenada
X","Coordenada 
 Y","Elevación GL
(ft)","Elevacion 
(m)","Temperatura en superficie 
(°C)","BHT
(°F)","BHT
(°C)","Profundidad BHT
(ft)","Profundidad BHT 
(m)",Temperatura de formación (°C),Gradiente Geotérmico Aparente (°C/Km),Año de actualizacion del dato,Distance_To_Nearest_Volcano (m),Nearby Volcanos
ABAN0004,ABANICO-4,3020,Tolima,Valle Superior del Magdalena,4.213002,-74.893581,909770.865223,957357.370043,1030.0,313.944,26.63028,100.0,37.77777777777778,3020.0,920.4960000000001,40.17287595233566,14.71228115313446,2008.0,37601.741109041046,0
ABAN0005,ABANICO-5,2928,Tolima,Valle Superior del Magdalena,4.216078,-74.888898,910291.24435,957696.956787,1028.0,313.3344,26.633328,110.0,43.333333333333336,2928.0,892.4544000000001,45.637603269519694,21.29439360657496,2008.0,37852.17237888243,0
ABAN0006,ABANICO-6,2904,Tolima,Valle Superior del Magdalena,4.21472,-74.89122,910033.263457,957547.084087,1038.0,316.3824,26.618088,113.0,45.0,2842.0,866.2416000000001,47.22026230259663,23.783404425043347,2008.0,37716.838356337794,0
ACAE0001,ACAE-1,10578,Putumayo,Caguan-Putumayo,0.606276,-76.564731,723420.331087,558549.884585,903.0,275.2344,26.823828,200.0,93.33333333333334,10573.0,3222.6504,104.6712107607203,24.156322622125042,2008.0,74806.59379316661,0
ACAE0010,ACAE-10,10757,Putumayo,Caguan-Putumayo,0.305911,-76.914853,684390.184013,525315.148844,297.0,90.52560000000001,27.747372,159.0,70.55555555555556,6268.0,1910.4864,76.65820215954733,25.60124487646043,2008.0,84902.24243924879,0
ACAE0011,ACAE-11,10830,Putumayo,Caguan-Putumayo,0.287539,-76.911964,684711.658106,523281.049287,976.0,297.4848,26.712576,217.0,102.77777777777779,10830.0,3300.9840000000004,114.38579342170028,26.559722016738124,2008.0,86330.19949502544,0
ACAE0012,ACAE-12,10855,Putumayo,Caguan-Putumayo,0.298083,-76.910869,684833.945305,524448.40463,940.0,286.512,26.76744,219.0,103.8888888888889,10855.0,3308.6040000000003,115.5227002662997,26.82559178018877,2008.0,85759.43913988219,0
ACAE0002,ACAE-2,10640,Putumayo,Caguan-Putumayo,0.289872,-76.917192,684129.033676,523539.51843,304.0,92.6592,27.736704,218.0,103.33333333333334,10640.0,3243.072,114.74248580080842,26.82819925083637,2008.0,85705.79891420153,0
ACAE0005,ACAE-5,10746,Putumayo,Caguan-Putumayo,0.310628,-76.916756,684178.237832,525837.400207,312.0,95.0976,27.724512,195.0,90.55555555555556,10745.0,3275.076,102.07521370313472,22.701977512318713,2008.0,84353.95051224722,0
ACAE0007,ACAE-7,10730,Putumayo,Caguan-Putumayo,0.295367,-76.917789,684062.62375,524147.842734,1019.0,310.5912,26.647044,157.0,69.44444444444444,5001.0,1524.3048000000001,74.00543058189592,31.068843043658934,2008.0,85299.66293195821,0
ACAE0008,ACAE-8,10755,Putumayo,Caguan-Putumayo,0.302839,-76.919417,683881.403298,524975.153208,981.0,299.301408,26.70349296,216.0,102.22222222222223,10755.0,3278.1240000000003,113.7523270909972,26.554466558006098,2008.0,84676.72788687368,0
ACAE0008A,ACAE-8A,10720,Putumayo,Caguan-Putumayo,0.302231,-76.918911,683937.739831,524907.792205,943.0,287.655,26.761725,217.0,102.77777777777779,10720.0,3267.456,114.27125952040129,26.78216157169409,2008.0,84761.4404009249,0
AGAT0001,AGATA-1,6201,Boyacá,Valle Medio del Magdalena,5.830164,-74.321856,973547.350579,1136101.111383,940.0,286.512,26.76744,145.0,62.77777777777778,5283.0,1610.2584000000002,67.67402964122167,25.40374243116612,2008.0,73424.87956003919,0
AGUA0001,AGUACHICA-1,11330,Cesar,Valle Medio del Magdalena,8.073272,-73.606028,1052346.609192,1384242.924927,226.0,68.8848,27.855576,181.0,82.77777777777779,11326.0,3452.1648,94.88023270933388,19.415254077480277,2008.0,308230.58845400804,0
AGUL0001,AGUALINDA-1,9108,Casanare,Llanos Orientales,6.175794,-71.091822,1330987.006031,1175294.65359,451.0,137.4648,27.512676,176.0,80.0,9100.0,2773.6800000000003,89.6485253717706,22.401953135102318,2009.0,431827.9848002008,0
AMAR0001,AGUAMARINA-1,11499,Casanare,Llanos Orientales,4.8018083,-72.3174583,1195661.3017403,1022674.059202,,172.82,27.3359,227.0,108.33333333333334,11446.0,3488.7408,120.54957669228457,26.71842995394917,2009.0,307409.5231422216,0
